post,sujet,tokenpost,postfinal,sentiment
"pour corriger les passages tendancieux, je propose les modifications suivantes :dã¨s le départ : â« l'ascendance d'igor et grichka bogdanoff est aujourd'hui encore sujette ã  cautionâ€¦ â», modifier en â« selon les données dâ€™igor et grichka bogdanoff, rapportées par le point â» et si câ€™est â« sujet ã  caution â» attribuer proprement ce doute.supprimer : â« la comtesse, jadis d'une grande beauté, est une excentrique qui parle treize langues, joue du piano et croit aux fantã´mes â» ou donner la source et reformuler. partie doctorat, reformulée : {{quote|bien quâ€™aient été évoqués par deux fois des doctorats qu'ils n'avaient pas, en 1985, dans une interview donnée ã  paris match (â« une erreur de retranscription de l'interview â» selon les bogdanoff[19]) et en 1991 sur la quatriã¨me de couverture d'un livre d'entretiens avec le philosophe jean guitton, oã¹ ils sont présentés comme docteurs en astrophysique et en physique théorique[17] (ils plaident une erreur de l'éditeur, grasset[19]), les frã¨res bogdanoff, auraient, selon leur dernier directeur de thã¨se, daniel sternheimer[20], commencé en 1991 ou 1992 un doctorat ã  l'université bordeaux i, sous la direction de gabriel simonoff. la teneur exacte de ce travail n'est pas connue et aucune publication scientifique ne vient le sanctionner. de cette période bordelaise, daniel sternheimer évoque â« des interventions effectuées auprã¨s du directeur de thã¨se d'alors, puis des autorités de l'université bordeaux i, incitant au non-renouvellement de leurs inscriptions â».}}dans â« lâ€™affaire bogdanoff â» â« cet ouvrage est vivement critiqué du fait qu'il comporte un nombre important d'erreurs élémentaires en mathématiques et en physique, et de nombreuses erreurs factuelles relevées par divers auteursâ» donner la référence, détailler les erreurs, et nommer les â« divers auteurs â» dans â« enseignement â». au sujet du â« chargé de recherche au cnrs ayant enquãªté sur eux â» il me semble juste de reprendre le qualificatif â« féroce critique â» donné par le parisien ou équivalent, puisque lâ€™enquãªte mise en avant dans la rédaction nâ€™est pas seulement celle de l'astrophysicien neutre ou dans le cadre d'une étude scientifique mais une démarche personnelle. enfin, comme je le mentionnais en pdd, il faut développer le succã¨s de librairie  du â« visage de dieu â»... avant d'en exposer la critique de personnalités pertinentes. ce sont des modifications de forme qui sautent aux yeux du novice en la matiã¨re que je suis. pour le fond, il ne pourra ãªtre développé proprement que hors des sentiers de la guerre. k ãµ a n--zen 22 mars 2011 ã  11:10 (cet)",frerebogdanof_travaux,"['pour', 'corriger', 'les', 'passages', 'tendancieux', 'je', 'propose', 'les', 'modifications', 'suivantes', 'dã', 's', 'le', 'départ', 'â', 'l', 'ascendance', 'd', 'igor', 'et', 'grichka', 'bogdanoff', 'est', 'aujourd', 'hui', 'encore', 'sujette', 'ã', 'cautionâ', 'â', 'modifier', 'en', 'â', 'selon', 'les', 'données', 'dâ', 'igor', 'et', 'grichka', 'bogdanoff', 'rapportées', 'par', 'le', 'point', 'â', 'et', 'si', 'câ', 'est', 'â', 'sujet', 'ã', 'caution', 'â', 'attribuer', 'proprement', 'ce', 'doute', 'supprimer', 'â', 'la', 'comtesse', 'jadis', 'd', 'une', 'grande', 'beauté', 'est', 'une', 'excentrique', 'qui', 'parle', 'treize', 'langues', 'joue', 'du', 'piano', 'et', 'croit', 'aux', 'fantã', 'mes', 'â', 'ou', 'donner', 'la', 'source', 'et', 'reformuler', 'partie', 'doctorat', 'reformulée', 'quote', 'bien', 'quâ', 'aient', 'été', 'évoqués', 'par', 'deux', 'fois', 'des', 'doctorats', 'qu', 'ils', 'n', 'avaient', 'pas', 'en', '1985', 'dans', 'une', 'interview', 'donnée', 'ã', 'paris', 'match', 'â', 'une', 'erreur', 'de', 'retranscription', 'de', 'l', 'interview', 'â', 'selon', 'les', 'bogdanoff', '19', 'et', 'en', '1991', 'sur', 'la', 'quatriã', 'me', 'de', 'couverture', 'd', 'un', 'livre', 'd', 'entretiens', 'avec', 'le', 'philosophe', 'jean', 'guitton', 'oã¹', 'ils', 'sont', 'présentés', 'comme', 'docteurs', 'en', 'astrophysique', 'et', 'en', 'physique', 'théorique', '17', 'ils', 'plaident', 'une', 'erreur', 'de', 'l', 'éditeur', 'grasset', '19', 'les', 'frã', 'res', 'bogdanoff', 'auraient', 'selon', 'leur', 'dernier', 'directeur', 'de', 'thã', 'se', 'daniel', 'sternheimer', '20', 'commencé', 'en', '1991', 'ou', '1992', 'un', 'doctorat', 'ã', 'l', 'université', 'bordeaux', 'i', 'sous', 'la', 'direction', 'de', 'gabriel', 'simonoff', 'la', 'teneur', 'exacte', 'de', 'ce', 'travail', 'n', 'est', 'pas', 'connue', 'et', 'aucune', 'publication', 'scientifique', 'ne', 'vient', 'le', 'sanctionner', 'de', 'cette', 'période', 'bordelaise', 'daniel', 'sternheimer', 'évoque', 'â', 'des', 'interventions', 'effectuées', 'auprã', 's', 'du', 'directeur', 'de', 'thã', 'se', 'd', 'alors', 'puis', 'des', 'autorités', 'de', 'l', 'université', 'bordeaux', 'i', 'incitant', 'au', 'non', 'renouvellement', 'de', 'leurs', 'inscriptions', 'â', 'dans', 'â', 'lâ', 'affaire', 'bogdanoff', 'â', 'â', 'cet', 'ouvrage', 'est', 'vivement', 'critiqué', 'du', 'fait', 'qu', 'il', 'comporte', 'un', 'nombre', 'important', 'd', 'erreurs', 'élémentaires', 'en', 'mathématiques', 'et', 'en', 'physique', 'et', 'de', 'nombreuses', 'erreurs', 'factuelles', 'relevées', 'par', 'divers', 'auteursâ', 'donner', 'la', 'référence', 'détailler', 'les', 'erreurs', 'et', 'nommer', 'les', 'â', 'divers', 'auteurs', 'â', 'dans', 'â', 'enseignement', 'â', 'au', 'sujet', 'du', 'â', 'chargé', 'de', 'recherche', 'au', 'cnrs', 'ayant', 'enquãªté', 'sur', 'eux', 'â', 'il', 'me', 'semble', 'juste', 'de', 'reprendre', 'le', 'qualificatif', 'â', 'féroce', 'critique', 'â', 'donné', 'par', 'le', 'parisien', 'ou', 'équivalent', 'puisque', 'lâ', 'enquãªte', 'mise', 'en', 'avant', 'dans', 'la', 'rédaction', 'nâ', 'est', 'pas', 'seulement', 'celle', 'de', 'l', 'astrophysicien', 'neutre', 'ou', 'dans', 'le', 'cadre', 'd', 'une', 'étude', 'scientifique', 'mais', 'une', 'démarche', 'personnelle', 'enfin', 'comme', 'je', 'le', 'mentionnais', 'en', 'pdd', 'il', 'faut', 'développer', 'le', 'succã', 's', 'de', 'librairie', 'du', 'â', 'visage', 'de', 'dieu', 'â', 'avant', 'd', 'en', 'exposer', 'la', 'critique', 'de', 'personnalités', 'pertinentes', 'ce', 'sont', 'des', 'modifications', 'de', 'forme', 'qui', 'sautent', 'aux', 'yeux', 'du', 'novice', 'en', 'la', 'matiã', 're', 'que', 'je', 'suis', 'pour', 'le', 'fond', 'il', 'ne', 'pourra', 'ãªtre', 'développé', 'proprement', 'que', 'hors', 'des', 'sentiers', 'de', 'la', 'guerre', 'k', 'ãµ', 'a', 'n', 'zen', '22', 'mars', '2011', 'ã', '11', '10', 'cet']",corriger passages tendancieux propose modifications dã départ ascendance igor grichka bogdanoff aujourd sujette cautionâ modifier données dâ igor grichka bogdanoff rapportées point câ sujet caution attribuer proprement doute supprimer comtesse jadis grande beauté excentrique langues joue piano croit fantã donner source reformuler partie doctorat reformulée quote bien quâ aient été évoqués fois doctorats qu pas 1985 interview donnée paris match erreur retranscription interview bogdanoff 19 1991 quatriã couverture livre entretiens philosophe jean guitton oã¹ présentés docteurs astrophysique physique théorique 17 plaident erreur éditeur grasset 19 frã res bogdanoff dernier directeur thã daniel sternheimer 20 commencé 1991 1992 doctorat université bordeaux direction gabriel simonoff teneur exacte travail pas connue aucune publication scientifique ne vient sanctionner période bordelaise daniel sternheimer évoque interventions effectuées auprã directeur thã autorités université bordeaux incitant non renouvellement inscriptions lâ affaire bogdanoff ouvrage vivement critiqué qu comporte nombre important erreurs élémentaires mathématiques physique erreurs factuelles relevées auteursâ donner référence détailler erreurs nommer auteurs enseignement sujet chargé recherche cnrs enquãªté reprendre qualificatif féroce critique donné parisien équivalent lâ enquãªte mise rédaction nâ pas astrophysicien neutre cadre étude scientifique démarche personnelle mentionnais pdd faut développer succã librairie visage dieu exposer critique personnalités pertinentes modifications forme sautent yeux novice matiã re fond ne pourra ãªtre développé proprement sentiers guerre ãµ zen 22 mars 2011 11 10,Positive
"assez d'accord.j'ai fait quelques reformulations en ce sens mais pas pour tout. en fin de compte, je pense que cet article n'est pas non plus un drame de pov. il y a quelques maladresses et je crois que quelques passages et reformulations suffiront. noisetier (d) 22 mars 2011 ã  21:13 (cet)",frerebogdanof_travaux,"['assez', 'd', 'accord', 'j', 'ai', 'fait', 'quelques', 'reformulations', 'en', 'ce', 'sens', 'mais', 'pas', 'pour', 'tout', 'en', 'fin', 'de', 'compte', 'je', 'pense', 'que', 'cet', 'article', 'n', 'est', 'pas', 'non', 'plus', 'un', 'drame', 'de', 'pov', 'il', 'y', 'a', 'quelques', 'maladresses', 'et', 'je', 'crois', 'que', 'quelques', 'passages', 'et', 'reformulations', 'suffiront', 'noisetier', 'd', '22', 'mars', '2011', 'ã', '21', '13', 'cet']",accord reformulations sens pas fin compte article pas non plus drame pov maladresses crois passages reformulations suffiront noisetier 22 mars 2011 21 13,Negative
"il semble bien que le drame soit plus autour de l'article que dedans. mais il suffit tout de mãªme de quelques lignes rédigées dans un ton trop peu encyclopédiques pour mettre le feu aux poudres. tu as commencé ã  y remédier. je reste avec l'impression, ã  partir de ma derniã¨re suggestion, qu'il devrait ãªtre plus clairement indiqué qu'ils ont eu un succã¨s populaire ã  défaut d'un succã¨s académique sans quoi on pourrait se demander pourquoi tant de controverses. je n'ai pas trouvé que ã§a apparaissait clairement, comme pour le reste, on saute vite ã  l'attaque avant d'avoir expliqué la cause (exemple du ""visage de dieu""). k ãµ a n--zen 23 mars 2011 ã  13:04 (cet)",frerebogdanof_travaux,"['il', 'semble', 'bien', 'que', 'le', 'drame', 'soit', 'plus', 'autour', 'de', 'l', 'article', 'que', 'dedans', 'mais', 'il', 'suffit', 'tout', 'de', 'mãªme', 'de', 'quelques', 'lignes', 'rédigées', 'dans', 'un', 'ton', 'trop', 'peu', 'encyclopédiques', 'pour', 'mettre', 'le', 'feu', 'aux', 'poudres', 'tu', 'as', 'commencé', 'ã', 'y', 'remédier', 'je', 'reste', 'avec', 'l', 'impression', 'ã', 'partir', 'de', 'ma', 'derniã', 're', 'suggestion', 'qu', 'il', 'devrait', 'ãªtre', 'plus', 'clairement', 'indiqué', 'qu', 'ils', 'ont', 'eu', 'un', 'succã', 's', 'populaire', 'ã', 'défaut', 'd', 'un', 'succã', 's', 'académique', 'sans', 'quoi', 'on', 'pourrait', 'se', 'demander', 'pourquoi', 'tant', 'de', 'controverses', 'je', 'n', 'ai', 'pas', 'trouvé', 'que', 'ã', 'a', 'apparaissait', 'clairement', 'comme', 'pour', 'le', 'reste', 'on', 'saute', 'vite', 'ã', 'l', 'attaque', 'avant', 'd', 'avoir', 'expliqué', 'la', 'cause', 'exemple', 'du', 'visage', 'de', 'dieu', 'k', 'ãµ', 'a', 'n', 'zen', '23', 'mars', '2011', 'ã', '13', '04', 'cet']",bien drame plus autour article mãªme lignes rédigées trop encyclopédiques mettre feu poudres commencé remédier impression partir derniã re suggestion qu devrait ãªtre plus clairement indiqué qu succã populaire défaut succã académique demander controverses pas trouvé apparaissait clairement saute vite attaque expliqué cause exemple visage dieu ãµ zen 23 mars 2011 13 04,Positive
je suis aussi d'accord pour dire qu'il y atrop d'anti bogdanov sur cette page. {{non signé|70.30.188.174}},frerebogdanof_travaux,"['je', 'suis', 'aussi', 'd', 'accord', 'pour', 'dire', 'qu', 'il', 'y', 'atrop', 'd', 'anti', 'bogdanov', 'sur', 'cette', 'page', 'non', 'signé', '70', '30', '188', '174']",accord qu atrop anti bogdanov page non signé 70 30 188 174,Negative
je vois pas trop le débat avancer. ne serait-il pas temps de le clore? xavier combelle (d) 18 novembre 2011 ã  19:00 (cet),frerebogdanof_travaux,"['je', 'vois', 'pas', 'trop', 'le', 'débat', 'avancer', 'ne', 'serait', 'il', 'pas', 'temps', 'de', 'le', 'clore', 'xavier', 'combelle', 'd', '18', 'novembre', '2011', 'ã', '19', '00', 'cet']",vois pas trop débat avancer ne pas temps clore xavier combelle 18 novembre 2011 19 00,Positive
en effet. je clos. docteurcosmos (d) 15 décembre 2011 ã  09:52 (cet),frerebogdanof_travaux,"['en', 'effet', 'je', 'clos', 'docteurcosmos', 'd', '15', 'décembre', '2011', 'ã', '09', '52', 'cet']",clos docteurcosmos 15 décembre 2011 09 52,Negative
"{{u|keckel}} s'obstine ã  réintroduire dans l'article un passage non neutre tendant ã  présenter comme étant la vérité une affirmation  des frã¨res bogdanoff selon laquelle ils seraient les petits-fils du musicien américain roland hayes.or cette assertion ne repose que sur leurs seules affirmations. ce qui implique la nécessité, s'agissant d'une filiation étant supposée intervenue hors mariage et sans document venant la prouver, que le conditionnel soit employé et qzue les frã¨res bogdanoff soient clairement désignés comme étant la seule source connue de ces affirmations.hégésippe | â±î˜â± 30 novembre 2012 ã  16:01 (cet)",frerebogdanof_travaux,"['u', 'keckel', 's', 'obstine', 'ã', 'réintroduire', 'dans', 'l', 'article', 'un', 'passage', 'non', 'neutre', 'tendant', 'ã', 'présenter', 'comme', 'étant', 'la', 'vérité', 'une', 'affirmation', 'des', 'frã', 'res', 'bogdanoff', 'selon', 'laquelle', 'ils', 'seraient', 'les', 'petits', 'fils', 'du', 'musicien', 'américain', 'roland', 'hayes', 'or', 'cette', 'assertion', 'ne', 'repose', 'que', 'sur', 'leurs', 'seules', 'affirmations', 'ce', 'qui', 'implique', 'la', 'nécessité', 's', 'agissant', 'd', 'une', 'filiation', 'étant', 'supposée', 'intervenue', 'hors', 'mariage', 'et', 'sans', 'document', 'venant', 'la', 'prouver', 'que', 'le', 'conditionnel', 'soit', 'employé', 'et', 'qzue', 'les', 'frã', 'res', 'bogdanoff', 'soient', 'clairement', 'désignés', 'comme', 'étant', 'la', 'seule', 'source', 'connue', 'de', 'ces', 'affirmations', 'hégésippe', 'â', 'î', 'â', '30', 'novembre', '2012', 'ã', '16', '01', 'cet']",keckel obstine réintroduire article passage non neutre tendant présenter vérité affirmation frã res bogdanoff petits fils musicien américain roland hayes assertion ne repose affirmations implique nécessité agissant filiation supposée intervenue mariage document venant prouver conditionnel employé qzue frã res bogdanoff soient clairement désignés source connue affirmations hégésippe 30 novembre 2012 16 01,Positive
"je rappelle le premier paragraphe de notre page wikipédia:neutralité de point de vue :  la neutralité de point de vue est un des principes fondateurs (absolus et non négociables) de wikipédia que tous les articles doivent respecter {{refl|(*)}}. ainsi d'aprã¨s ce principe, les articles doivent ãªtre écrits de faã§on ã  ne pas prendre parti pour un point de vue plutã´t qu'un autre. au contraire, il s'agit de présenter tous les points de vue pertinents, en les attribuant ã  leurs auteurs, mais sans en adopter aucun. il ne faut a priori jamais affirmer, sous-entendre ou mãªme laisser croire qu'un des points de vue est d'une quelconque faã§on meilleur, égal ou moins bon qu'un autre.  {{refa|(*)}} jimmy wales sur la liste de diffusion en refusant que l'article attribue aux seuls frã¨res bogdanoff la source de cette asertion sur leur parenté supposée avec roland hayes, keckel contrevient clairement et doublement ã  l'impératif de neutralité de point de vue, qui 1â°) prohibe de prendre parti pour un point de vue plutã´t qu'un autre et qui 2â°) exige qu'un point de vue présenté dans un article soit attribué ã  son ou ses auteurs.hégésippe | â±î˜â± 30 novembre 2012 ã  16:30 (cet)",frerebogdanof_travaux,"['je', 'rappelle', 'le', 'premier', 'paragraphe', 'de', 'notre', 'page', 'wikipédia', 'neutralité', 'de', 'point', 'de', 'vue', 'la', 'neutralité', 'de', 'point', 'de', 'vue', 'est', 'un', 'des', 'principes', 'fondateurs', 'absolus', 'et', 'non', 'négociables', 'de', 'wikipédia', 'que', 'tous', 'les', 'articles', 'doivent', 'respecter', 'refl', 'ainsi', 'd', 'aprã', 's', 'ce', 'principe', 'les', 'articles', 'doivent', 'ãªtre', 'écrits', 'de', 'faã', 'on', 'ã', 'ne', 'pas', 'prendre', 'parti', 'pour', 'un', 'point', 'de', 'vue', 'plutã', 't', 'qu', 'un', 'autre', 'au', 'contraire', 'il', 's', 'agit', 'de', 'présenter', 'tous', 'les', 'points', 'de', 'vue', 'pertinents', 'en', 'les', 'attribuant', 'ã', 'leurs', 'auteurs', 'mais', 'sans', 'en', 'adopter', 'aucun', 'il', 'ne', 'faut', 'a', 'priori', 'jamais', 'affirmer', 'sous', 'entendre', 'ou', 'mãªme', 'laisser', 'croire', 'qu', 'un', 'des', 'points', 'de', 'vue', 'est', 'd', 'une', 'quelconque', 'faã', 'on', 'meilleur', 'égal', 'ou', 'moins', 'bon', 'qu', 'un', 'autre', 'refa', 'jimmy', 'wales', 'sur', 'la', 'liste', 'de', 'diffusion', 'en', 'refusant', 'que', 'l', 'article', 'attribue', 'aux', 'seuls', 'frã', 'res', 'bogdanoff', 'la', 'source', 'de', 'cette', 'asertion', 'sur', 'leur', 'parenté', 'supposée', 'avec', 'roland', 'hayes', 'keckel', 'contrevient', 'clairement', 'et', 'doublement', 'ã', 'l', 'impératif', 'de', 'neutralité', 'de', 'point', 'de', 'vue', 'qui', '1â', 'prohibe', 'de', 'prendre', 'parti', 'pour', 'un', 'point', 'de', 'vue', 'plutã', 't', 'qu', 'un', 'autre', 'et', 'qui', '2â', 'exige', 'qu', 'un', 'point', 'de', 'vue', 'présenté', 'dans', 'un', 'article', 'soit', 'attribué', 'ã', 'son', 'ou', 'ses', 'auteurs', 'hégésippe', 'â', 'î', 'â', '30', 'novembre', '2012', 'ã', '16', '30', 'cet']",rappelle paragraphe page wikipédia neutralité point vue neutralité point vue principes fondateurs absolus non négociables wikipédia articles respecter refl aprã principe articles ãªtre écrits faã ne pas prendre parti point vue plutã qu contraire agit présenter points vue pertinents attribuant auteurs adopter aucun ne faut priori jamais affirmer entendre mãªme croire qu points vue faã meilleur égal bon qu refa jimmy wales liste diffusion refusant article attribue frã res bogdanoff source asertion parenté supposée roland hayes keckel contrevient clairement doublement impératif neutralité point vue 1â prohibe prendre parti point vue plutã qu 2â exige qu point vue présenté article attribué auteurs hégésippe 30 novembre 2012 16 30,Positive
"ce qui me gãªne le plus, c'est qu'on puisse laisser dans la phrase incriminée que â«â bertha kolowrat-krakowskã¡, comtesse von colloredo-mannsfeld [...] s'occupait des événements culturels pour l'empereur d'autriche, franã§ois-joseph â» en 1926 !!! hadrianus (d) 30 novembre 2012 ã  19:06 (cet)",frerebogdanof_travaux,"['ce', 'qui', 'me', 'gãªne', 'le', 'plus', 'c', 'est', 'qu', 'on', 'puisse', 'laisser', 'dans', 'la', 'phrase', 'incriminée', 'que', 'â', 'â', 'bertha', 'kolowrat', 'krakowskã', 'comtesse', 'von', 'colloredo', 'mannsfeld', 's', 'occupait', 'des', 'événements', 'culturels', 'pour', 'l', 'empereur', 'd', 'autriche', 'franã', 'ois', 'joseph', 'â', 'en', '1926', 'hadrianus', 'd', '30', 'novembre', '2012', 'ã', '19', '06', 'cet']",gãªne plus qu puisse phrase incriminée bertha kolowrat krakowskã comtesse von colloredo mannsfeld occupait événements culturels empereur autriche franã ois joseph 1926 hadrianus 30 novembre 2012 19 06,Positive
"peut-ãªtre était-il sous-entendu, dans l'esprit de ceux qui ont rédigé ce passage, que la grand-mã¨re occupait cette fonction au moins depuis 1916 (année de la mort de franã§ois-joseph) puis qu'ele avaiit ultérieurement connu roland hayes, et entretenu une longue liaison ayant conduit ã  la naissance maria dolores kolowrat-krakowskã¡ en 1926? hégésippe | â±î˜â± 30 novembre 2012 ã  19:13 (cet)",frerebogdanof_travaux,"['peut', 'ãªtre', 'était', 'il', 'sous', 'entendu', 'dans', 'l', 'esprit', 'de', 'ceux', 'qui', 'ont', 'rédigé', 'ce', 'passage', 'que', 'la', 'grand', 'mã', 're', 'occupait', 'cette', 'fonction', 'au', 'moins', 'depuis', '1916', 'année', 'de', 'la', 'mort', 'de', 'franã', 'ois', 'joseph', 'puis', 'qu', 'ele', 'avaiit', 'ultérieurement', 'connu', 'roland', 'hayes', 'et', 'entretenu', 'une', 'longue', 'liaison', 'ayant', 'conduit', 'ã', 'la', 'naissance', 'maria', 'dolores', 'kolowrat', 'krakowskã', 'en', '1926', 'hégésippe', 'â', 'î', 'â', '30', 'novembre', '2012', 'ã', '19', '13', 'cet']",ãªtre entendu esprit rédigé passage grand mã re occupait fonction 1916 année mort franã ois joseph qu ele avaiit ultérieurement connu roland hayes entretenu longue liaison conduit naissance maria dolores kolowrat krakowskã 1926 hégésippe 30 novembre 2012 19 13,Positive
