Thématique;Contenu;Contenu_texte
Quotient intellectuel;"<post n=""0"" when-iso=""2004-04-30T00:53"" who=""psn:cmr-wikiconflits-p1723"" xml:id=""cmr-wiki-c001-a1"">
<p>Je viens de réécrire la page qui contenait de multiples erreurs. La nouvelle page est
            très incomplète. Il manque notamment :</p>
<p>
<list>
<item> Les principes fondamentaux des tests (mesure de l'intelligence par ses
                manifestations et non pas par ses caractéristiques)</item>
<item> L'explication des problèmes posés par le passage du QI en âge mental au QI par
                rang (et la solution de Cattell d'utiliser un écart-type de 48)</item>
<item> Les limites de la modélisation par une Loi Normale</item>
<item> L'étude de la validité des tests (ils sont corrélés à 0,7 avec l'Intelligence
                Générale)</item>
<item> etc. Il faudrait aussi compléter la page <ref target=""https://fr.wikipedia.org/wiki/Intelligence"">Intelligence</ref> pour y
                rajouter une explication de ce qu'est <hi rend=""italic"">l'Intelligence
                Générale</hi>.</item>
</list>
</p>
<p>Mais tout cela serait beaucoup trop long. J'ai donc uniquement cherché à donner une
            indication des différentes significations que peut prendre le terme QI, et indiqué les
            liens vers un site francophone assez complet que j'ai développé sur le sujet.</p>
<p><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:pg"">PG</ref> 30 avr 2004 à 00:53
            (CEST)</p>
</post>";"Je viens de réécrire la page qui contenait de multiples erreurs. La nouvelle page est
            très incomplète. Il manque notamment :


 Les principes fondamentaux des tests (mesure de l'intelligence par ses
                manifestations et non pas par ses caractéristiques)
 L'explication des problèmes posés par le passage du QI en âge mental au QI par
                rang (et la solution de Cattell d'utiliser un écart-type de 48)
 Les limites de la modélisation par une Loi Normale
 L'étude de la validité des tests (ils sont corrélés à 0,7 avec l'Intelligence
                Générale)
 etc. Il faudrait aussi compléter la page Intelligence pour y
                rajouter une explication de ce qu'est l'Intelligence
                Générale.


Mais tout cela serait beaucoup trop long. J'ai donc uniquement cherché à donner une
            indication des différentes significations que peut prendre le terme QI, et indiqué les
            liens vers un site francophone assez complet que j'ai développé sur le sujet.
PG 30 avr 2004 à 00:53
            (CEST)
"
Quotient intellectuel;"<post n=""1"" ref=""#cmr-wiki-c001-a1"" when-iso=""2004-11-29T00:31"" who=""psn:cmr-wikiconflits-p8915"" xml:id=""cmr-wiki-c001-a2"">
<p>il semble qu'on a ajouté beaucoup de choses sur cette page depuis avril.</p>
<p>J'ai ajouté des réserves à la partie sur ""les réserves sur le QI"" car il y en a. Elles
            sont extraites de la FAQ en cours d'élaboration sur un site que j'administre. Au fur et
            à mesure, je reviens ici déposer ce que mes recherches ont donné. Du coup, j'ai été
            amenée à ajouté aussi une page sur l'effet Flynn. Comme j'ai dû aussi intervenir sur la
            Courbe de Gauss, etc. Volontairement, j'ai cherché à rester le plus simple possible et à
            m'éloigner des chiffres : derrière le QI, il y a des gens.</p>
<p>J'ai ajouté donc ajouté des liens faciles d'accès (sic).</p>
<p>--</p><signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:lauranne"">Lauranne</ref> 29 nov 2004 à 00:31 (CET)</signed></post>";"
il semble qu'on a ajouté beaucoup de choses sur cette page depuis avril.
J'ai ajouté des réserves à la partie sur ""les réserves sur le QI"" car il y en a. Elles
            sont extraites de la FAQ en cours d'élaboration sur un site que j'administre. Au fur et
            à mesure, je reviens ici déposer ce que mes recherches ont donné. Du coup, j'ai été
            amenée à ajouté aussi une page sur l'effet Flynn. Comme j'ai dû aussi intervenir sur la
            Courbe de Gauss, etc. Volontairement, j'ai cherché à rester le plus simple possible et à
            m'éloigner des chiffres : derrière le QI, il y a des gens.
J'ai ajouté donc ajouté des liens faciles d'accès (sic).
--Lauranne 29 nov 2004 à 00:31 (CET)"
Quotient intellectuel;"<post n=""0"" when-iso=""2005-01-16T09:35"" who=""psn:cmr-wikiconflits-p1453"" xml:id=""cmr-wiki-c001-a3"">
<p>Ci-dessous un copier-coller d'une partie de la page que je trouve trop chevelu pour
            être intégré et que je n'arrive pas à peigner. </p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:gbog"">gbog</ref> 16 jan
            2005 à 09:35 (CET)</signed>
<!-- #suppression du post et déplacement des métadonnées au bon endroit (le segment qui suit appartient en fait au post précédent de cmr-wiki-c001-a3) -->
<!-- #déplacement de <p>...</p> de la fin du post précédent -->
<p>...</p>
<p>OK. J'ai reclassé certains items. Mais, justement, si on enlève les passages (ce
            n'était pas un copier-coller mais un COUPER-coller), on ne comprend plus rien.</p>
<p>il y avait de grosses confusions d'ajoutées. (du moins, elles figuraient en lieu et
            place d'autres notions, d'où confusion)</p>
<p>Modifications : J'ai ôté ces deux passages.</p>
<p>
<list>
<item> Le test de QI a été souvent critiqué à cause de sa dépendance au contexte
                socio-culturel. En effet, la résolution rapide de tels problèmes est rendue plus
                facile quand on est habitué à ce type de raisonnement. Suivant la voie tracée par
                les penseurs Grecs, la civilisation occidentale a donné une grande importance à la
                logique, au raisonnement déductif, à l'analyse, au principe de non-contradiction,
                bref aux mathématiques. D'autres cultures ont développé d'autres outils pour
                comprendre le réel, comme le raisonnement par analogie, l'utilisation de
                l'intuition, la référence à l'Histoire ayant valeur de preuve, etc. Ainsi il
                faudrait prendre en compte les caractères culturels pour que le QI puisse
                s'appliquer universellement comme mesure d'une certaine capacité intellectuelle. ...
                Le Qi ne mesure qu'une certaine capacité intellectuelle, et pas, en effet, la
                référence à l'Histoire (??), etc.! Ce passage là parle de la définition de l'objet
                testé. Ca n'a pas de rapport. Si l'auteur parle de ""l'intelligence"" (?), il peut se
                référer à l'article en émergence sur le sujet. S'il parle de certaines facultés...
                Eh bien, les tests de QI ne mesurent pas celles-là. Point.</item>
</list>
</p>
<p>Ce n'est pas ce dont il est question quand on parle de dépendance socio-culturelle.</p>
<p>Notons que ""l'intuition"", en tant que capacité à repérer des éléments permettant
            d'anticiper les effets d'une action ou situation, est prise en compte dans les tests de
            QI (forcément, puisqu'il faut deviner le résultat d'après les éléments donnés), et même
            insconsciente, puisqu'on ne doit pas fournir de justification de ses réponses.</p>
<p><list>
<item> enfin, le test de QI ne donnant qu'une note globale, il ne permet pas de
                connaître la qualité de la capacité intellectuelle du sujet testé, il ne donne pas
                de renseignements sur ses points forts et ses points faibles.</item>
</list></p></post>";"
Ci-dessous un copier-coller d'une partie de la page que je trouve trop chevelu pour
            être intégré et que je n'arrive pas à peigner. 
gbog 16 jan
            2005 à 09:35 (CET)


...
OK. J'ai reclassé certains items. Mais, justement, si on enlève les passages (ce
            n'était pas un copier-coller mais un COUPER-coller), on ne comprend plus rien.
il y avait de grosses confusions d'ajoutées. (du moins, elles figuraient en lieu et
            place d'autres notions, d'où confusion)
Modifications : J'ai ôté ces deux passages.


 Le test de QI a été souvent critiqué à cause de sa dépendance au contexte
                socio-culturel. En effet, la résolution rapide de tels problèmes est rendue plus
                facile quand on est habitué à ce type de raisonnement. Suivant la voie tracée par
                les penseurs Grecs, la civilisation occidentale a donné une grande importance à la
                logique, au raisonnement déductif, à l'analyse, au principe de non-contradiction,
                bref aux mathématiques. D'autres cultures ont développé d'autres outils pour
                comprendre le réel, comme le raisonnement par analogie, l'utilisation de
                l'intuition, la référence à l'Histoire ayant valeur de preuve, etc. Ainsi il
                faudrait prendre en compte les caractères culturels pour que le QI puisse
                s'appliquer universellement comme mesure d'une certaine capacité intellectuelle. ...
                Le Qi ne mesure qu'une certaine capacité intellectuelle, et pas, en effet, la
                référence à l'Histoire (??), etc.! Ce passage là parle de la définition de l'objet
                testé. Ca n'a pas de rapport. Si l'auteur parle de ""l'intelligence"" (?), il peut se
                référer à l'article en émergence sur le sujet. S'il parle de certaines facultés...
                Eh bien, les tests de QI ne mesurent pas celles-là. Point.


Ce n'est pas ce dont il est question quand on parle de dépendance socio-culturelle.
Notons que ""l'intuition"", en tant que capacité à repérer des éléments permettant
            d'anticiper les effets d'une action ou situation, est prise en compte dans les tests de
            QI (forcément, puisqu'il faut deviner le résultat d'après les éléments donnés), et même
            insconsciente, puisqu'on ne doit pas fournir de justification de ses réponses.

 enfin, le test de QI ne donnant qu'une note globale, il ne permet pas de
                connaître la qualité de la capacité intellectuelle du sujet testé, il ne donne pas
                de renseignements sur ses points forts et ses points faibles.
"
Quotient intellectuel;"<post n=""1"" ref=""#cmr-wiki-c001-a3"" when-iso=""2005-01-28T09:31"" who=""psn:cmr-wikiconflits-p8915"" xml:id=""cmr-wiki-c001-a4"">
<p>--&gt; c'est faux. La note (QI) est globale, mais il y a plusieurs sub-tests, et le but
            est justement de renseigner sur les points forts et les points faibles ! (confusion
            entre les termes ""QI"" et ""test de QI""). Par contre, tous les points ne peuvent être
            abordés (capacité à léviter, prescience...). -- <ref target=""https://fr.wikipedia.org/wiki/Utilisateur:lauranne"">Lauranne</ref> 28 jan 2005
            à 09:31 (CET)</p>
</post>";" c'est faux. La note (QI) est globale, mais il y a plusieurs sub-tests, et le but
            est justement de renseigner sur les points forts et les points faibles ! (confusion
            entre les termes ""QI"" et ""test de QI""). Par contre, tous les points ne peuvent être
            abordés (capacité à léviter, prescience...). -- Lauranne 28 jan 2005
            à 09:31 (CET)
"
Quotient intellectuel;"<post n=""0"" when-iso=""2005-03-29T13:25"" who=""psn:cmr-wikiconflits-p13782"" xml:id=""cmr-wiki-c001-a5"">
<p>""On peut programmer assez facilement un ordinateur en LISP ou en SLIP""</p>
<p>S'agit-il d'une référence à un langage dont j'ignorais l'existence, d'une allusion au
            protocole de ce nom, ou d'une blague vaseuse ? </p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:apokrif"">Apokrif</ref> 29
            mar 2005 à 13:25 (CEST)</signed></post>";"""On peut programmer assez facilement un ordinateur en LISP ou en SLIP""
S'agit-il d'une référence à un langage dont j'ignorais l'existence, d'une allusion au
            protocole de ce nom, ou d'une blague vaseuse ? 
Apokrif 29
            mar 2005 à 13:25 (CEST)"
Quotient intellectuel;"<post n=""1"" ref=""#cmr-wiki-c001-a5"" when-iso=""2005-09-08T18:33"" who=""psn:cmr-wikiconflits-ip00488"" xml:id=""cmr-wiki-c001-a6"">
<p>SLIP (Simple LIst Processor) était un ensemble de sous-programmes FORTRAN permettant de
            réaliser du traitement de listes. C'était tout aussi fastidieux que le LIPS? mais enfin,
            cela ne comportait pas vraiment plus de parenthèses pour traiter un problème donné </p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:81.65.27.14"">81.65.27.14</ref> 8 septembre 2005 à 18:33 (CEST)</signed></post>";"
SLIP (Simple LIst Processor) était un ensemble de sous-programmes FORTRAN permettant de
            réaliser du traitement de listes. C'était tout aussi fastidieux que le LIPS? mais enfin,
            cela ne comportait pas vraiment plus de parenthèses pour traiter un problème donné 
81.65.27.14 8 septembre 2005 à 18:33 (CEST)"
Quotient intellectuel;"<post n=""0"" when-iso=""2005-09-08T18:35"" who=""psn:cmr-wikiconflits-ip00488"" xml:id=""cmr-wiki-c001-a7"">
<p>Créer un sous-titre nommé froidement ""invalidité qu QI"" ne peut en aucun cas être
            considéré comme <hi rend=""italic"">neutre</hi> ni même conforme à la simple réalité (si
            l'on distingue en moins de deux heures de conversation un 150 d'un 100, c'est bien qu'il
            y a <hi rend=""italic"">quelque chose</hi> qui distingue <hi rend=""italic"">quelque
              part</hi> le 150 et le 100). Je modifie donc ce titre en ""Objections"", ce qu'il était
            me semble-t-il au départ (?) </p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:81.65.27.14"">81.65.27.14</ref> 8 septembre 2005 à 18:35 (CEST)</signed></post>";"
Créer un sous-titre nommé froidement ""invalidité qu QI"" ne peut en aucun cas être
            considéré comme neutre ni même conforme à la simple réalité (si
            l'on distingue en moins de deux heures de conversation un 150 d'un 100, c'est bien qu'il
            y a quelque chose qui distingue quelque
              part le 150 et le 100). Je modifie donc ce titre en ""Objections"", ce qu'il était
            me semble-t-il au départ (?) 
81.65.27.14 8 septembre 2005 à 18:35 (CEST)"
Quotient intellectuel;"<post n=""1"" ref=""#cmr-wiki-c001-a7"" when-iso=""2005-09-08T19:10"" who=""psn:cmr-wikiconflits-ip00488"" xml:id=""cmr-wiki-c001-a8"">
<p>Corrections également d'une <hi rend=""bold"">double</hi> atteinte à la NPDV : un
            contributeur, par sa mauvaise formulation, pouvait faire risquer d'amalgamer le notion
            de QI avec celles d'élitisme, d'eugénisme et de racisme (première erreur) et avait
            rédigé son article dans un sens dépréciant les deux premiers sans raison valable, autre
            atteinte à la NPDV. </p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:81.65.27.14"">81.65.27.14</ref> 8 septembre 2005 à 19:10 (CEST)</signed></post>";"
Corrections également d'une double atteinte à la NPDV : un
            contributeur, par sa mauvaise formulation, pouvait faire risquer d'amalgamer le notion
            de QI avec celles d'élitisme, d'eugénisme et de racisme (première erreur) et avait
            rédigé son article dans un sens dépréciant les deux premiers sans raison valable, autre
            atteinte à la NPDV. 
81.65.27.14 8 septembre 2005 à 19:10 (CEST)"
Quotient intellectuel;"<post n=""2"" ref=""#cmr-wiki-c001-a8"" when-iso=""2005-09-26T20:42"" who=""psn:cmr-wikiconflits-ip00910"" xml:id=""cmr-wiki-c001-a9"">
<p>Wiki est là pour informer de tous les aspects d'un sujet, c'est en donnant tous les
            points de vue que l'on obtient la neutralité, pas en exposant ton seul point de vue et
            en supprimant toute réflexion et mise en cause du sujet (tu devrais lire les pages de
            wiki consacrées au npov).--</p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:84.101.175.97"">84.101.175.97</ref> 26 septembre 2005 à 20:42 (CEST)</signed></post>";"
Wiki est là pour informer de tous les aspects d'un sujet, c'est en donnant tous les
            points de vue que l'on obtient la neutralité, pas en exposant ton seul point de vue et
            en supprimant toute réflexion et mise en cause du sujet (tu devrais lire les pages de
            wiki consacrées au npov).--
84.101.175.97 26 septembre 2005 à 20:42 (CEST)"
Quotient intellectuel;"<post n=""0"" when-iso=""2005-09-11T05:12"" who=""psn:cmr-wikiconflits-ip00037"" xml:id=""cmr-wiki-c001-a10"">
<!-- #identification de l'utilisateur : remplacement de p_unknown par ""ip00037"" -->
<!-- #remplacement de when-custom=""unknown"" par when-iso=""2005-09-11T05:12"" -->
<p>Tu me dis en gros: <hi rend=""italic"">""Si des gens disent que X est plus intelligent que
              Y c'est sùrement vrai!""</hi> Et bien je dis NON.<lb/> La différence entre un 100 et un
            150 c'est le milieu social, l'éducation, l'entrainement de l'individu, et surtout la
            volonté d'acceptation et d'adaptation à des codes de raisonnement logiques choisis
            totalement arbitrairement, et sùrement pas par une intelligence assez supérieure aux
            autres pour avoir le droit de fixer les critères définissant
          ""l'intelligence"".</p></post>";"


Tu me dis en gros: ""Si des gens disent que X est plus intelligent que
              Y c'est sùrement vrai!"" Et bien je dis NON. La différence entre un 100 et un
            150 c'est le milieu social, l'éducation, l'entrainement de l'individu, et surtout la
            volonté d'acceptation et d'adaptation à des codes de raisonnement logiques choisis
            totalement arbitrairement, et sùrement pas par une intelligence assez supérieure aux
            autres pour avoir le droit de fixer les critères définissant
          ""l'intelligence""."
